,Number,Dice_Score
0,ISIC_0000017,0.7600368293657739
0,ISIC_0000018,0.7605925662572187
0,ISIC_0000011,0.7630247987674185
0,ISIC_0000019,0.7613385419168324
0,ISIC_0000021,0.7608252487939042
0,ISIC_0000034,0.7607892079457845
0,ISIC_0000039,0.7607186626551693
0,ISIC_0000041,0.7595973565485683
0,ISIC_0000042,0.7610414204917648
0,ISIC_0000047,0.7605073199536803
0,ISIC_0000048,0.7619337836302358
0,ISIC_0000051,0.7610871672315137
0,ISIC_0000054,0.7601192037581646
0,ISIC_0000055,0.7603062565638026
0,ISIC_0000058,0.7609404661154743
0,ISIC_0000059,0.7607737211971706
0,ISIC_0000061,0.7610951500243178
0,ISIC_0000062,0.7592533028802235
0,ISIC_0000063,0.7613606247838732
0,ISIC_0000065,0.7610849640543053
0,ISIC_0000067,0.7616336136882509
0,ISIC_0000068,0.7621147683875653
0,ISIC_0000073,0.7618563989796664
0,ISIC_0000074,0.7635561085605587
0,ISIC_0000078,0.7620032811013039
0,ISIC_0000079,0.762876127945648
0,ISIC_0000080,0.7604025998812498
0,ISIC_0000082,0.7609009098258501
0,ISIC_0000086,0.7607616920857707
0,ISIC_0000087,0.7613879338279829
0,ISIC_0000089,0.7595124382801488
0,ISIC_0000093,0.7596103783483021
0,ISIC_0000095,0.7627035609244311
0,ISIC_0000102,0.7593426365658924
0,ISIC_0000103,0.7628622869733586
0,ISIC_0000108,0.7601044574022285
0,ISIC_0000119,0.75989751939185
0,ISIC_0000128,0.760188128783566
0,ISIC_0000134,0.7599923258360867
0,ISIC_0000135,0.7592241187728473
0,ISIC_0000137,0.7610596785220878
0,ISIC_0000139,0.7611081253764702
0,ISIC_0000145,0.7620527142798433
0,ISIC_0000148,0.7602691930268651
0,ISIC_0000153,0.7602535003907357
0,ISIC_0000154,0.7603851906285545
0,ISIC_0000157,0.7620554747367243
0,ISIC_0000171,0.7613471132225323
0,ISIC_0000175,0.7605123657107616
0,ISIC_0000176,0.7543793025825001
0,ISIC_0000185,0.7620230677193024
0,ISIC_0000186,0.7603457332550253
0,ISIC_0000191,0.7613195045163637
0,ISIC_0000199,0.7614936325847184
0,ISIC_0000204,0.7637942738880633
0,ISIC_0000206,0.7599651706949497
0,ISIC_0000211,0.7601481569897963
0,ISIC_0000214,0.7617795795905253
0,ISIC_0000218,0.7611935157357408
0,ISIC_0000220,0.7595133144134085
